Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
ОТКРЫТИЕ ДЕТСКОГО САДА  В ГОСОМЕ	Январь 31st, 2014 11:17 ДП	-	Район: день за днем	2014/January/147.txt	открытие детский сад  в госома
ВО ИМЯ ПАВШИХ И ЖИВЫХ	Январь 31st, 2014 11:14 ДП	-	Судьбы людские	2014/January/148.txt	во имя пасть и живой
«СПАСИБО ВАМ ЗА ВОЛШЕБСТВО!»	Январь 31st, 2014 11:02 ДП	-	Письмо в газету	2014/January/149.txt	«спасибо вы за волшебство!»
РОДНИКИ ДЕТСКОГО ТВОРЧЕСТВА	Январь 31st, 2014 11:01 ДП	-	Письмо в газету	2014/January/150.txt	родник детский творчество
ВИКТОР ЧАЙКА ВЛЮБИЛСЯ В «ТАРАТОРОК»	Январь 31st, 2014 10:59 ДП	-	Наши земляки	2014/January/151.txt	виктор чайка влюбляться в «тараторка»
МИНИСТЕРСТВО ОБОРОНЫ РФ ВОЕННЫЙ КОМИССАРИАТ БРЯНСКОЙ ОБЛАСТИ	Январь 31st, 2014 10:56 ДП	-	Информация	2014/January/152.txt	министерство оборона рф военный комиссариат брянский область
СТАРТОВАЛА ДЕКЛАРАЦИОННАЯ КАМПАНИЯ 2014 ГОДА	Январь 31st, 2014 10:56 ДП	-	Службы информируют	2014/January/153.txt	стартовать декларационный кампания 2014 год
«БЕЗОПАСНЫЙ УЧАСТОК»	Январь 31st, 2014 10:55 ДП	-	Службы информируют	2014/January/154.txt	«безопасный участок»
ДЛЯ УЛУЧШЕНИЯ ПОЛОЖЕНИЯ СЕМЕЙ С ДЕТЬМИ	Январь 31st, 2014 10:54 ДП	-	Народ и власть	2014/January/155.txt	для улучшение положение семья с ребенок
ВСТРЕЧА С ПРЕЗИДЕНТОМ БЕЛОРУССИИ	Ноябрь 27th, 2013 04:32 ПП	-	Народ и власть	2013/November/156.txt	встреча с президент белоруссия
БРЯНСКАЯ ДЕЛЕГАЦИЯ С ОФИЦИАЛЬНЫМ ВИЗИТОМ В БЕЛОРУССИИ  	Ноябрь 27th, 2013 04:31 ПП	-	Народ и власть	2013/November/157.txt	брянский делегация с официальный визит в белоруссия  
Единый день приема граждан по личным вопросам. 	Ноябрь 27th, 2013 04:30 ПП	-	Информация	2013/November/158.txt	единый день прием гражданин по личный вопрос. 
БОЛЬШОЕ СПАСИБО!	Ноябрь 27th, 2013 04:29 ПП	-	Район: день за днем	2013/November/159.txt	большой спасибо!
РАЗВИВАЯ КОММУНИКАТИВНЫЕ НАВЫКИ У ВОСПИТАННИКОВ	Ноябрь 27th, 2013 04:27 ПП	-	Разное	2013/November/160.txt	развивать коммуникативный навык у воспитанник
КУБОК ОСТАЛСЯ В ГЛИНИЩЕВЕ	Ноябрь 27th, 2013 04:26 ПП	-	Спорт	2013/November/161.txt	кубок оставаться в глинищев
ВСЮ НАШУ ЛЮБОВЬ — МАМАМ	Ноябрь 27th, 2013 04:24 ПП	-	В администрации района	2013/November/162.txt	весь наш любовь — мама
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Ноябрь 27th, 2013 04:23 ПП	-	Народ и власть	2013/November/163.txt	в правительство область
ИНФОРМКУРЬЕР	Ноябрь 27th, 2013 04:22 ПП	-	Информация	2013/November/164.txt	информкурьер
ОПЛОМБИРОВАНИЕ ПРИБОРОВ УЧЕТА ВОДЫ	Ноябрь 27th, 2013 04:21 ПП	-	Службы информируют	2013/November/165.txt	опломбирование прибор учет вода
У ПОЛИЦЕЙСКИХ БРЯНСКОГО РАЙОНА – НОВОСЕЛЬЕ	Сентябрь 27th, 2013 03:30 ПП	-	Район: день за днем	2013/September/166.txt	у полицейский брянский район – новоселье
СЕРЕБРЯНЫЙ ПРИЗЁР ПЕРВЕНСТВА ЕВРОПЫ	Сентябрь 27th, 2013 03:20 ПП	-	Спорт	2013/September/167.txt	серебряный призер первенство европа
СИТУАЦИЯ НА ПОЛЯХ — НА ОСОБОМ КОНТРОЛЕ	Сентябрь 27th, 2013 03:12 ПП	-	Район: день за днем	2013/September/168.txt	ситуация на поле — на особый контроль
БОЛЬШОЕ СПАСИБО ЗА ПОМОЩЬ!	Сентябрь 26th, 2013 04:38 ПП	-	Письмо в газету	2013/September/169.txt	большой спасибо за помощь!
РАВНЕНИЕ НА БРЯНСКИЙ РАЙОН	Сентябрь 26th, 2013 04:36 ПП	-	Спорт	2013/September/170.txt	равнение на брянский район
НА БЛАГО ЖИТЕЛЕЙ БРЯНСКОГО РАЙОНА	Сентябрь 26th, 2013 04:20 ПП	-	Народ и власть	2013/September/171.txt	на благо житель брянский район
«СПАСИБО ЗА ДОБРЫЕ ПОЖЕЛАНИЯ!»	Сентябрь 26th, 2013 03:12 ПП	-	Наши земляки	2013/September/172.txt	«спасибо за добрый пожелание!»
КОНФЕРЕНЦИЯ «ЕДИНОЙ РОССИИ»	Сентябрь 26th, 2013 03:10 ПП	-	Народ и власть	2013/September/173.txt	конференция «единый россия»
«НА БРЯНСКОЙ УЛИЦЕ ПРАЗДНИК»	Сентябрь 26th, 2013 03:09 ПП	-	Разное	2013/September/174.txt	«на брянский улица праздник»
ПОДВЕЛИ ИТОГИ ВЫБОРНОЙ КАМПАНИИ	Сентябрь 26th, 2013 03:07 ПП	-	Народ и власть	2013/September/175.txt	подводить итог выборный кампания
Решения территориальной избирательной комиссии Брянского района	Июль 30th, 2013 12:29 ПП	-	Информация	2013/July/176.txt	решение территориальный избирательный комиссия брянский район
Решения территориальной избирательной комиссии Брянского района	Июль 30th, 2013 11:58 ДП	-	Информация	2013/July/177.txt	решение территориальный избирательный комиссия брянский район
ХЛЕБА НАЛЕВО, ХЛЕБА НАПРАВО	Июль 26th, 2013 09:48 ДП	-	Район: день за днем	2013/July/178.txt	хлеб налево, хлеб направо
КУРСКОЙ БИТВЫ ЮБИЛЯР	Июль 26th, 2013 09:47 ДП	-	Наши земляки	2013/July/179.txt	курский битва юбиляр
НАРОДНЫЙ ФРОНТ «ЗА РОССИЮ!»	Июль 26th, 2013 09:46 ДП	-	Народ и власть	2013/July/180.txt	народный фронт «за россия!»
НАЧАЛАСЬ УБОРКА ЗЕРНОВЫХ	Июль 26th, 2013 09:46 ДП	-	Район: день за днем	2013/July/181.txt	начинаться уборка зернов
ДЕЛЕГАЦИЯ БЕЛАРУСИ НА БРЯНСКОЙ ЗЕМЛЕ	Июль 26th, 2013 09:45 ДП	-	Район: день за днем	2013/July/182.txt	делегация беларусь на брянский земля
МУЗЕЮ БРЯНСКОГО РАЙОНА НУЖНА ПОМОЩЬ	Июль 26th, 2013 09:44 ДП	-	Информация	2013/July/183.txt	музей брянский район нужный помощь
ТЕРПЕНИЕ, УВАЖЕНИЕ, ВЗАИМОПОНИМАНИЕ	Июль 19th, 2013 12:21 ПП	-	Судьбы людские	2013/July/184.txt	терпение, уважение, взаимопонимание
ВЕТЕРАНЫ ЧУВСТВУЮТ ЗАБОТУ И ПОДДЕРЖКУ	Июль 19th, 2013 12:18 ПП	-	Наши земляки	2013/July/185.txt	ветеран чувствовать забота и поддержка
ОБЩЕРОССИЙСКИЙ НАРОДНЫЙ ФРОНТ — НОВАЯ АВТОРИТЕТНАЯ СТРУКТУРА РОССИИ	Май 31st, 2013 10:30 ДП	-	Наши земляки	2013/May/186.txt	общероссийский народный фронт — новый авторитетный структура россия
3,3 МИЛЛИАРДА ДЛЯ «ЭКОФРИО» ВЫДЕЛЕНЫ	Май 31st, 2013 10:28 ДП	-	Район: день за днем	2013/May/187.txt	3,3 миллиард для «экофрио» выделять
СПАСИБО ЗА ПОМОЩЬ	Май 31st, 2013 10:25 ДП	-	Наши земляки	2013/May/188.txt	спасибо за помощь
ЛЕТНЯЯ ОЗДОРОВИТЕЛЬНАЯ КАМПАНИЯ	Май 31st, 2013 10:24 ДП	-	Информация	2013/May/189.txt	летний оздоровительный кампания
НА ПОРОГЕ ВЗРОСЛОЙ ЖИЗНИ	Май 31st, 2013 10:24 ДП	-	Район: день за днем	2013/May/190.txt	на порог взрослый жизнь
ЗОЛОТЫЕ ЮБИЛЯРЫ РАЙОНА	Май 27th, 2013 09:24 ДП	-	Район: день за днем	2013/May/191.txt	золотой юбиляр район
«НА МОЕМ МЕСТЕ ТАК ПОСТУПИЛ БЫ КАЖДЫЙ»	Май 27th, 2013 09:23 ДП	-	Наши земляки	2013/May/192.txt	«на мой место так поступать бы каждый»
ПО КОНТРАКТУ В ЗНАМЕНИТУЮ ДИВИЗИЮ	Май 27th, 2013 09:20 ДП	-	Разное	2013/May/193.txt	по контракт в знаменитый дивизия
ПОСЕЯНО 11762 ГЕКТАРА ЯРОВЫХ КУЛЬТУР	Май 27th, 2013 09:19 ДП	-	Район: день за днем	2013/May/194.txt	посеять 11762 гектар яровой культура
НУЖНА ПОМОЩЬ!	Май 23rd, 2013 01:12 ПП	-	Информация	2013/May/195.txt	нужный помощь!
ПОДДЕРЖКА СЕМЕЙ С ДЕТЬМИ	Март 29th, 2013 09:58 ДП	-	Район: день за днем	2013/March/196.txt	поддержка семья с ребенок
ДЛЯ АКТИВНЫХ, УМНЫХ, СМЕЛЫХ	Март 29th, 2013 09:57 ДП	-	В администрации района	2013/March/197.txt	для активный, умный, смелый
НАШИ ТАЛАНТЫ — ТЕБЕ, РОССИЯ!	Март 29th, 2013 09:56 ДП	-	Район: день за днем	2013/March/198.txt	наш талант — ты, россия!
КОНКУРСНЫЙ НАБОР СПЕЦИАЛИСТОВ ДЛЯ ОБУЧЕНИЯ В РАМКАХ ПРЕЗИДЕНТСКОЙ ПРОГРАММЫ В 2013/2014 УЧЕБНОМ ГОДУ	Март 28th, 2013 09:34 ДП	-	Информация	2013/March/199.txt	конкурсный набор специалист для обучение в рамка президентский программа в 2013/2014 учебный год
НА ПЕРВОМ ПЛАНЕ — УБОРКА СНЕГА	Март 27th, 2013 03:09 ПП	-	Район: день за днем	2013/March/200.txt	на первый план — уборка снег
ПРИРОДА — НАШ ОБЩИЙ ДОМ	Март 27th, 2013 03:08 ПП	-	В администрации района	2013/March/201.txt	природа — наш общий дом
ЗАКЛАДЫВАЯ ФУНДАМЕНТ НА БУДУЩЕЕ	Март 27th, 2013 03:07 ПП	-	Район: день за днем	2013/March/202.txt	закладывать фундамент на будущее
МАСЛЕНИЦА В МИЧУРИНСКОМ	Март 20th, 2013 02:46 ПП	-	Район: день за днем	2013/March/203.txt	масленица в мичуринский
НА ОСТРИЕ БЫТОВОЙ ЖИЗНИ	Март 20th, 2013 02:45 ПП	-	В администрации района	2013/March/204.txt	на острие бытовой жизнь
ТАК ДЕРЖАТЬ, РЕБЯТА!	Март 20th, 2013 02:44 ПП	-	Спорт	2013/March/205.txt	так держать, ребята!
ЗА АКТИВНУЮ ОБЩЕСТВЕННУЮ РАБОТУ	Январь 31st, 2013 07:39 ПП	-	Народ и власть	2013/January/206.txt	за активный общественный работа
