"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"МИНИСТЕРСТВО ОБОРОНЫ РФ ВОЕННЫЙ КОМИССАРИАТ БРЯНСКОЙ ОБЛАСТИ"	"Январь 31st, 2014 10:56 ДП"	"-"	"Информация"	"2014/January/152.txt"
"СТАРТОВАЛА ДЕКЛАРАЦИОННАЯ КАМПАНИЯ 2014 ГОДА"	"Январь 31st, 2014 10:56 ДП"	"-"	"Службы информируют"	"2014/January/153.txt"
"«БЕЗОПАСНЫЙ УЧАСТОК»"	"Январь 31st, 2014 10:55 ДП"	"-"	"Службы информируют"	"2014/January/154.txt"
"ДЛЯ УЛУЧШЕНИЯ ПОЛОЖЕНИЯ СЕМЕЙ С ДЕТЬМИ"	"Январь 31st, 2014 10:54 ДП"	"-"	"Народ и власть"	"2014/January/155.txt"
"ВСТРЕЧА С ПРЕЗИДЕНТОМ БЕЛОРУССИИ"	"Ноябрь 27th, 2013 04:32 ПП"	"-"	"Народ и власть"	"2013/November/156.txt"
"БРЯНСКАЯ ДЕЛЕГАЦИЯ С ОФИЦИАЛЬНЫМ ВИЗИТОМ В БЕЛОРУССИИ  "	"Ноябрь 27th, 2013 04:31 ПП"	"-"	"Народ и власть"	"2013/November/157.txt"
"Единый день приема граждан по личным вопросам. "	"Ноябрь 27th, 2013 04:30 ПП"	"-"	"Информация"	"2013/November/158.txt"
"БОЛЬШОЕ СПАСИБО!"	"Ноябрь 27th, 2013 04:29 ПП"	"-"	"Район: день за днем"	"2013/November/159.txt"
"РАЗВИВАЯ КОММУНИКАТИВНЫЕ НАВЫКИ У ВОСПИТАННИКОВ"	"Ноябрь 27th, 2013 04:27 ПП"	"-"	"Разное"	"2013/November/160.txt"
"КУБОК ОСТАЛСЯ В ГЛИНИЩЕВЕ"	"Ноябрь 27th, 2013 04:26 ПП"	"-"	"Спорт"	"2013/November/161.txt"
"ВСЮ НАШУ ЛЮБОВЬ — МАМАМ"	"Ноябрь 27th, 2013 04:24 ПП"	"-"	"В администрации района"	"2013/November/162.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 27th, 2013 04:23 ПП"	"-"	"Народ и власть"	"2013/November/163.txt"
"ИНФОРМКУРЬЕР"	"Ноябрь 27th, 2013 04:22 ПП"	"-"	"Информация"	"2013/November/164.txt"
"ОПЛОМБИРОВАНИЕ ПРИБОРОВ УЧЕТА ВОДЫ"	"Ноябрь 27th, 2013 04:21 ПП"	"-"	"Службы информируют"	"2013/November/165.txt"
"У ПОЛИЦЕЙСКИХ БРЯНСКОГО РАЙОНА – НОВОСЕЛЬЕ"	"Сентябрь 27th, 2013 03:30 ПП"	"-"	"Район: день за днем"	"2013/September/166.txt"
"СЕРЕБРЯНЫЙ ПРИЗЁР ПЕРВЕНСТВА ЕВРОПЫ"	"Сентябрь 27th, 2013 03:20 ПП"	"-"	"Спорт"	"2013/September/167.txt"
"СИТУАЦИЯ НА ПОЛЯХ — НА ОСОБОМ КОНТРОЛЕ"	"Сентябрь 27th, 2013 03:12 ПП"	"-"	"Район: день за днем"	"2013/September/168.txt"
"БОЛЬШОЕ СПАСИБО ЗА ПОМОЩЬ!"	"Сентябрь 26th, 2013 04:38 ПП"	"-"	"Письмо в газету"	"2013/September/169.txt"
"РАВНЕНИЕ НА БРЯНСКИЙ РАЙОН"	"Сентябрь 26th, 2013 04:36 ПП"	"-"	"Спорт"	"2013/September/170.txt"
"НА БЛАГО ЖИТЕЛЕЙ БРЯНСКОГО РАЙОНА"	"Сентябрь 26th, 2013 04:20 ПП"	"-"	"Народ и власть"	"2013/September/171.txt"
"«СПАСИБО ЗА ДОБРЫЕ ПОЖЕЛАНИЯ!»"	"Сентябрь 26th, 2013 03:12 ПП"	"-"	"Наши земляки"	"2013/September/172.txt"
"КОНФЕРЕНЦИЯ «ЕДИНОЙ РОССИИ»"	"Сентябрь 26th, 2013 03:10 ПП"	"-"	"Народ и власть"	"2013/September/173.txt"
"«НА БРЯНСКОЙ УЛИЦЕ ПРАЗДНИК»"	"Сентябрь 26th, 2013 03:09 ПП"	"-"	"Разное"	"2013/September/174.txt"
"ПОДВЕЛИ ИТОГИ ВЫБОРНОЙ КАМПАНИИ"	"Сентябрь 26th, 2013 03:07 ПП"	"-"	"Народ и власть"	"2013/September/175.txt"
"Решения территориальной избирательной комиссии Брянского района"	"Июль 30th, 2013 12:29 ПП"	"-"	"Информация"	"2013/July/176.txt"
"Решения территориальной избирательной комиссии Брянского района"	"Июль 30th, 2013 11:58 ДП"	"-"	"Информация"	"2013/July/177.txt"
"ХЛЕБА НАЛЕВО, ХЛЕБА НАПРАВО"	"Июль 26th, 2013 09:48 ДП"	"-"	"Район: день за днем"	"2013/July/178.txt"
"КУРСКОЙ БИТВЫ ЮБИЛЯР"	"Июль 26th, 2013 09:47 ДП"	"-"	"Наши земляки"	"2013/July/179.txt"
"НАРОДНЫЙ ФРОНТ «ЗА РОССИЮ!»"	"Июль 26th, 2013 09:46 ДП"	"-"	"Народ и власть"	"2013/July/180.txt"
"НАЧАЛАСЬ УБОРКА ЗЕРНОВЫХ"	"Июль 26th, 2013 09:46 ДП"	"-"	"Район: день за днем"	"2013/July/181.txt"
"ДЕЛЕГАЦИЯ БЕЛАРУСИ НА БРЯНСКОЙ ЗЕМЛЕ"	"Июль 26th, 2013 09:45 ДП"	"-"	"Район: день за днем"	"2013/July/182.txt"
"МУЗЕЮ БРЯНСКОГО РАЙОНА НУЖНА ПОМОЩЬ"	"Июль 26th, 2013 09:44 ДП"	"-"	"Информация"	"2013/July/183.txt"
"ТЕРПЕНИЕ, УВАЖЕНИЕ, ВЗАИМОПОНИМАНИЕ"	"Июль 19th, 2013 12:21 ПП"	"-"	"Судьбы людские"	"2013/July/184.txt"
"ВЕТЕРАНЫ ЧУВСТВУЮТ ЗАБОТУ И ПОДДЕРЖКУ"	"Июль 19th, 2013 12:18 ПП"	"-"	"Наши земляки"	"2013/July/185.txt"
"ОБЩЕРОССИЙСКИЙ НАРОДНЫЙ ФРОНТ — НОВАЯ АВТОРИТЕТНАЯ СТРУКТУРА РОССИИ"	"Май 31st, 2013 10:30 ДП"	"-"	"Наши земляки"	"2013/May/186.txt"
"3,3 МИЛЛИАРДА ДЛЯ «ЭКОФРИО» ВЫДЕЛЕНЫ"	"Май 31st, 2013 10:28 ДП"	"-"	"Район: день за днем"	"2013/May/187.txt"
"СПАСИБО ЗА ПОМОЩЬ"	"Май 31st, 2013 10:25 ДП"	"-"	"Наши земляки"	"2013/May/188.txt"
"ЛЕТНЯЯ ОЗДОРОВИТЕЛЬНАЯ КАМПАНИЯ"	"Май 31st, 2013 10:24 ДП"	"-"	"Информация"	"2013/May/189.txt"
"НА ПОРОГЕ ВЗРОСЛОЙ ЖИЗНИ"	"Май 31st, 2013 10:24 ДП"	"-"	"Район: день за днем"	"2013/May/190.txt"
"ЗОЛОТЫЕ ЮБИЛЯРЫ РАЙОНА"	"Май 27th, 2013 09:24 ДП"	"-"	"Район: день за днем"	"2013/May/191.txt"
"«НА МОЕМ МЕСТЕ ТАК ПОСТУПИЛ БЫ КАЖДЫЙ»"	"Май 27th, 2013 09:23 ДП"	"-"	"Наши земляки"	"2013/May/192.txt"
"ПО КОНТРАКТУ В ЗНАМЕНИТУЮ ДИВИЗИЮ"	"Май 27th, 2013 09:20 ДП"	"-"	"Разное"	"2013/May/193.txt"
"ПОСЕЯНО 11762 ГЕКТАРА ЯРОВЫХ КУЛЬТУР"	"Май 27th, 2013 09:19 ДП"	"-"	"Район: день за днем"	"2013/May/194.txt"
"НУЖНА ПОМОЩЬ!"	"Май 23rd, 2013 01:12 ПП"	"-"	"Информация"	"2013/May/195.txt"
"ПОДДЕРЖКА СЕМЕЙ С ДЕТЬМИ"	"Март 29th, 2013 09:58 ДП"	"-"	"Район: день за днем"	"2013/March/196.txt"
"ДЛЯ АКТИВНЫХ, УМНЫХ, СМЕЛЫХ"	"Март 29th, 2013 09:57 ДП"	"-"	"В администрации района"	"2013/March/197.txt"
"НАШИ ТАЛАНТЫ — ТЕБЕ, РОССИЯ!"	"Март 29th, 2013 09:56 ДП"	"-"	"Район: день за днем"	"2013/March/198.txt"
"КОНКУРСНЫЙ НАБОР СПЕЦИАЛИСТОВ ДЛЯ ОБУЧЕНИЯ В РАМКАХ ПРЕЗИДЕНТСКОЙ ПРОГРАММЫ В 2013/2014 УЧЕБНОМ ГОДУ"	"Март 28th, 2013 09:34 ДП"	"-"	"Информация"	"2013/March/199.txt"
"НА ПЕРВОМ ПЛАНЕ — УБОРКА СНЕГА"	"Март 27th, 2013 03:09 ПП"	"-"	"Район: день за днем"	"2013/March/200.txt"
"ПРИРОДА — НАШ ОБЩИЙ ДОМ"	"Март 27th, 2013 03:08 ПП"	"-"	"В администрации района"	"2013/March/201.txt"
"ЗАКЛАДЫВАЯ ФУНДАМЕНТ НА БУДУЩЕЕ"	"Март 27th, 2013 03:07 ПП"	"-"	"Район: день за днем"	"2013/March/202.txt"
"МАСЛЕНИЦА В МИЧУРИНСКОМ"	"Март 20th, 2013 02:46 ПП"	"-"	"Район: день за днем"	"2013/March/203.txt"
"НА ОСТРИЕ БЫТОВОЙ ЖИЗНИ"	"Март 20th, 2013 02:45 ПП"	"-"	"В администрации района"	"2013/March/204.txt"
"ТАК ДЕРЖАТЬ, РЕБЯТА!"	"Март 20th, 2013 02:44 ПП"	"-"	"Спорт"	"2013/March/205.txt"
"ЗА АКТИВНУЮ ОБЩЕСТВЕННУЮ РАБОТУ"	"Январь 31st, 2013 07:39 ПП"	"-"	"Народ и власть"	"2013/January/206.txt"
"ЛЫЖНИКИ, НА СТАРТ!"	"Январь 29th, 2013 01:15 ПП"	"-"	"Информация"	"2013/January/207.txt"
"С ЧУВСТВОМ ЗАЩИЩЁННОСТИ"	"Январь 29th, 2013 01:14 ПП"	"-"	"Район: день за днем"	"2013/January/208.txt"
"ЛЫЖНИКИ, НА СТАРТ!"	"Январь 24th, 2013 01:05 ПП"	"-"	"Спорт"	"2013/January/209.txt"
"ТАК ДЕРЖАТЬ!"	"Январь 24th, 2013 01:04 ПП"	"-"	"Спорт"	"2013/January/210.txt"
"БУДУЩЕЕ СЕЛА В НАШИХ РУКАХ"	"Январь 24th, 2013 01:02 ПП"	"-"	"Разное"	"2013/January/211.txt"
"МИЧУРИНСКИЙ: НАВСТРЕЧУ ВЫБОРАМ"	"Январь 24th, 2013 12:57 ПП"	"-"	"Район: день за днем"	"2013/January/212.txt"
"«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ»"	"Январь 21st, 2013 12:55 ПП"	"-"	"Район: день за днем"	"2013/January/213.txt"
"ВЛАСТЬ ПОДДЕРЖИТ АГРАРИЕВ"	"Январь 21st, 2013 12:54 ПП"	"-"	"В администрации района"	"2013/January/214.txt"
"ТВОРЦЫ СОВРЕМЕННОСТИ"	"Январь 16th, 2013 02:57 ПП"	"-"	"Профессиональный праздник"	"2013/January/215.txt"
"НАШ ЗАКОН — ДВИЖЕНИЕ ВПЕРЕД"	"Ноябрь 29th, 2012 07:57 ДП"	"-"	"В администрации района"	"2012/November/216.txt"
"«ДОБРО БЕЗ ГРАНИЦ»"	"Ноябрь 28th, 2012 02:17 ПП"	"-"	"Службы информируют"	"2012/November/217.txt"
"ГЛАВНЫЙ ПРАЗДНИК «СНЕЖКИ»"	"Ноябрь 26th, 2012 02:43 ПП"	"-"	"Район: день за днем"	"2012/November/218.txt"
"Поможем вместе!"	"Ноябрь 22nd, 2012 09:10 ДП"	"-"	"Судьбы людские"	"2012/November/219.txt"
"ЗА ПРЕДАННОСТЬ ИСКУССТВУ"	"Ноябрь 15th, 2012 01:21 ПП"	"-"	"Наши земляки"	"2012/November/220.txt"
"ГЛИНИЩЕВЦЫ – ЧЕМПИОНЫ"	"Ноябрь 15th, 2012 01:20 ПП"	"-"	"Спорт"	"2012/November/221.txt"
"ИЩУ МАМУ…"	"Ноябрь 15th, 2012 01:18 ПП"	"-"	"Службы информируют"	"2012/November/222.txt"
"ярмарка вакансий"	"Ноябрь 13th, 2012 01:02 ПП"	"-"	"Информация"	"2012/November/223.txt"
"ГДЕ ПОЛУЧИТЬ НУЖНУЮ ПРОФЕССИЮ?"	"Ноябрь 9th, 2012 12:03 ПП"	"-"	"Район: день за днем"	"2012/November/224.txt"
"«ШУМЕЛ СУРОВО БРЯНСКИЙ ЛЕС…»"	"Ноябрь 9th, 2012 12:02 ПП"	"-"	"Это интересно"	"2012/November/225.txt"
"Брянский Фонд Микрозаймов упростил условия получения микрозаймов и стал ближе к предпринимателям!"	"Сентябрь 28th, 2012 10:15 ДП"	"-"	"Информация"	"2012/September/226.txt"
"УСПЕХ — МОЕ ДЕЛО!"	"Сентябрь 28th, 2012 10:11 ДП"	"-"	"Информация"	"2012/September/227.txt"
"МОЛОДЕЖНЫМ ИНИЦИАТИВАМ – ПОДДЕРЖКУ"	"Сентябрь 28th, 2012 10:10 ДП"	"-"	"Народ и власть"	"2012/September/228.txt"
"ЖИЛЬЁ, ДОРОГИ И НЕ ТОЛЬКО"	"Сентябрь 28th, 2012 10:09 ДП"	"-"	"Район: день за днем"	"2012/September/229.txt"
"САНАТОРИЙ ВСТУПИТ В СТРОЙ"	"Сентябрь 28th, 2012 10:08 ДП"	"-"	"Район: день за днем"	"2012/September/230.txt"
"СЛУЖИТЬ В АРМИИ – ПРЕСТИЖНО"	"Сентябрь 28th, 2012 10:07 ДП"	"-"	"В администрации района"	"2012/September/231.txt"
"БРЯНСКИЙ РАЙОН ВЫСТУПИЛ ДОСТОЙНО!"	"Сентябрь 28th, 2012 10:06 ДП"	"-"	"Спорт"	"2012/September/232.txt"
"ТРЕНИРОВКА ПО ГРАЖДАНСКОЙ ОБОРОНЕ"	"Сентябрь 28th, 2012 09:53 ДП"	"-"	"Информация"	"2012/September/233.txt"
"Проект, посвященный памяти советского композитора и певца Владимира Мигули "	"Сентябрь 24th, 2012 03:48 ПП"	"-"	"Разное"	"2012/September/234.txt"
"«БЛАГОЕ ДЕЛО»"	"Сентябрь 21st, 2012 11:02 ДП"	"-"	"Район: день за днем"	"2012/September/235.txt"
"МНОГОЕ УЖЕ СДЕЛАНО, МНОГО И ПРЕДСТОИТ СДЕЛАТЬ"	"Июль 31st, 2012 07:25 ПП"	"-"	"Район: день за днем"	"2012/July/236.txt"
"СВОЯ КВАРТИРА"	"Июль 31st, 2012 07:19 ПП"	"-"	"В администрации района"	"2012/July/237.txt"
"В. ДИНАБУРГСКОМУ – 90"	"Июль 31st, 2012 05:10 ПП"	"-"	"Наши земляки"	"2012/July/238.txt"
"МЫ ТОЖЕ ПОДДЕРЖИВАЕМ ГУБЕРНАТОРА ДЕНИНА"	"Июль 31st, 2012 05:06 ПП"	"-"	"Народ и власть"	"2012/July/239.txt"
"КОЛОСИТСЯ БЕСКРАЙНЯЯ НИВА"	"Июль 31st, 2012 05:04 ПП"	"-"	"Район: день за днем"	"2012/July/240.txt"
"«ЧАРОДЕЙКА», «К ПИВУ», «НЕЖНАЯ»…"	"Июль 31st, 2012 05:02 ПП"	"-"	"В администрации района"	"2012/July/241.txt"
"В РИТМАХ РОК-МУЗЫКИ"	"Июль 25th, 2012 03:04 ПП"	"-"	"Разное"	"2012/July/242.txt"
"МОИ ГОДА — МОЕ БОГАТСТВО!"	"Июль 25th, 2012 02:57 ПП"	"-"	"Судьбы людские"	"2012/July/243.txt"
"ОТКРЫВАЮТСЯ ХОРОШИЕ ПЕРСПЕКТИВЫ"	"Июль 25th, 2012 02:55 ПП"	"-"	"Район: день за днем"	"2012/July/244.txt"
"ДЕНЬ ВОЕННО-МОРСКОГО ФЛОТА РОССИИ"	"Июль 25th, 2012 02:53 ПП"	"-"	"Информация"	"2012/July/245.txt"
"МЫ — СЕМЬЯ! ЭТО ЗНАЧИТ — МЫ ВМЕСТЕ"	"Май 30th, 2012 12:22 ПП"	"-"	"Информация"	"2012/May/246.txt"
"«ЛАДА» С ПЕСНЕЙ В ЛАДУ"	"Май 30th, 2012 12:21 ПП"	"-"	"Разное"	"2012/May/247.txt"
"НАСЛЕДСТВО, ИМУЩЕСТВО, ПРИВАТИЗАЦИЯ? ПОМОЖЕТ ВАМ СЛУЖБА ИНВЕНТАРИЗАЦИИ!"	"Май 25th, 2012 03:24 ПП"	"-"	"Профессиональный праздник"	"2012/May/248.txt"
"ПОЧТА В БЕТОВЕ  ПРЕОБРАЗИЛАСЬ  "	"Май 25th, 2012 03:10 ПП"	"-"	"Район: день за днем"	"2012/May/249.txt"
"ЧУДЕСА ИЗ ТКАНИ"	"Май 25th, 2012 03:03 ПП"	"-"	"Наши земляки"	"2012/May/250.txt"
"«ДНИ СЛУЖБЫ ЗАНЯТОСТИ»"	"Май 25th, 2012 03:00 ПП"	"-"	"Службы информируют"	"2012/May/251.txt"
"НОВЫЙ ДОМ СТАНЕТ РЕАЛЬНОСТЬЮ"	"Май 23rd, 2012 03:53 ПП"	"-"	"В администрации района"	"2012/May/252.txt"
"ЗАВЕРШАЯ СЕВ, ДУМАЙ О КОРМАХ"	"Май 23rd, 2012 03:52 ПП"	"-"	"Район: день за днем"	"2012/May/253.txt"
"МИР ГЛАЗАМИ ДОБРУНСКИХ ДЕТЕЙ УВИДЕЛИ ГОРОЖАНЕ"	"Май 23rd, 2012 03:51 ПП"	"-"	"Разное"	"2012/May/254.txt"
"НА АРЕНЕ МЕЖДУНАРОДНОГО ФЕСТИВАЛЯ — ЦИРКОВАЯ СТУДИЯ «КОНФЕТТИ»"	"Май 23rd, 2012 03:49 ПП"	"-"	"Разное"	"2012/May/255.txt"
"ПОСТАВИЛИ НОВЫЕ ЗАДАЧИ"	"Март 30th, 2012 11:10 ДП"	"-"	"В администрации района"	"2012/March/256.txt"
"ПОВЫШЕНИЕ ПРЕСТИЖА РАБОЧИХ ПРОФЕССИЙ "	"Март 30th, 2012 11:06 ДП"	"-"	"Информация"	"2012/March/257.txt"
"ДРУГОГО ПУТИ, КРОМЕ КАК РАЗВИВАТЬСЯ, У СЕЛА НЕТ"	"Март 28th, 2012 12:13 ПП"	"-"	"Район: день за днем"	"2012/March/258.txt"
"СДЕЛАНО НЕМАЛО, И ЭТО ТОЛЬКО НАЧАЛО"	"Март 28th, 2012 12:11 ПП"	"-"	"Разное"	"2012/March/259.txt"
"ОТКРЫТИЕ ВЫСТАВКИ"	"Март 26th, 2012 10:09 ДП"	"-"	"Район: день за днем"	"2012/March/260.txt"
"УМНОЖАТЬ ЭКОНОМИЧЕСКИЕ ВОЗМОЖНОСТИ"	"Март 21st, 2012 12:18 ПП"	"-"	"Информация"	"2012/March/261.txt"
"ЭФФЕКТИВНЫЙ БИЗНЕС"	"Март 16th, 2012 09:39 ДП"	"-"	"Район: день за днем"	"2012/March/262.txt"
"ДЕРЕВНЯ ДОБРУНЬ ПОКОРИЛА БЕЛАРУСЬ"	"Март 16th, 2012 09:38 ДП"	"-"	"Разное"	"2012/March/263.txt"
"ФОРМУЛА УСПЕХА НИНЫ КОНСТАНТИНОВНЫ"	"Март 16th, 2012 09:36 ДП"	"-"	"Наши земляки"	"2012/March/264.txt"
"НА ПОЖАР ПРИБЫЛИ ПЕРВЫМИ"	"Март 16th, 2012 09:35 ДП"	"-"	"Район: день за днем"	"2012/March/265.txt"
"МУЗЫКАЛЬНЫЙ СЕМИНАР"	"Январь 30th, 2012 10:37 ДП"	"-"	"Район: день за днем"	"2012/January/266.txt"
"С ЗАБОТОЙ О БЛИЖНЕМ"	"Январь 30th, 2012 10:36 ДП"	"-"	"Службы информируют"	"2012/January/267.txt"
"УРОКИ МУЖЕСТВА"	"Январь 30th, 2012 10:35 ДП"	"-"	"Район: день за днем"	"2012/January/268.txt"
"ОТРАДНЫЕ ПЕРСПЕКТИВЫ"	"Январь 25th, 2012 01:10 ПП"	"-"	"Район: день за днем"	"2012/January/269.txt"
"ЖИЛЬЕ ВЕТЕРАНАМ"	"Январь 25th, 2012 01:09 ПП"	"-"	"Информация"	"2012/January/270.txt"
"ЗА ГОД РАСКРЫТО 734 ПРЕСТУПНЫХ ПОСЯГАТЕЛЬСТВА"	"Январь 25th, 2012 01:06 ПП"	"-"	"Службы информируют"	"2012/January/271.txt"
"СОСТЯЗАЛИСЬ В ЖИМЕ ЛЕЖА"	"Январь 18th, 2012 10:43 ДП"	"-"	"Спорт"	"2012/January/272.txt"
"НОВОГОДНЯЯ ЁЛКА ГЛАВЫ"	"Январь 18th, 2012 10:42 ДП"	"-"	"В администрации района"	"2012/January/273.txt"
"График "	"Январь 18th, 2012 10:41 ДП"	"-"	"Информация"	"2012/January/274.txt"
"ВЛАСТЬ И ДОЛЖНА БЫТЬ СОЦИАЛЬНО ОТВЕТСТВЕННОЙ"	"Ноябрь 30th, 2011 03:30 ПП"	"-"	"Народ и власть"	"2011/November/275.txt"
"НЕ РАДИ НАГРАДЫ"	"Ноябрь 30th, 2011 03:18 ПП"	"-"	"Наши земляки"	"2011/November/276.txt"
"90 МАЛЫШЕЙ ПРИДУТ СЕГОДНЯ В ДЕТСКИЙ САД В ТОЛМАЧЕВЕ"	"Ноябрь 30th, 2011 03:14 ПП"	"-"	"Район: день за днем"	"2011/November/277.txt"
